"","State","Year","BDPRP","BFFDB","CLPRB","CLPRK","EMFDB","ENPRP","GETCB","HYTCB","NCPRB","NGMPB","NUETB","PAPRB","REPRB","SOTCB","WWPRB","WYTCB","CO2.Emissions..Mmt.","TotalNumberofInvestments","TotalAmountofAssistance"
"209","Ohio",2019,1462,93011,192413,24.735,85066,14934,3435,3585,28481,2901090,177624,159327,174087,3269,52595,18192,196.6865897,44,2756315
"210","Ohio",2020,1697,81513,88255,24.607,72295,12725,3435,3283,30594,2611802,190243,135554,161090,3793,48983,20083,185.631953,54,3038155
"211","Oklahoma",2015,642,3486,17422,22.33,0,0,24,24825,155674,2880137,0,949416,187199,71,28038,130754,100.2883311,64,1677872
"212","Oklahoma",2016,822,4466,14440,22.072,0,0,24,23758,209175,2864577,0,885142,243569,115,29928,185278,96.1010241,58,1341097
"213","Oklahoma",2017,855,4644,12590,22.428,0,0,24,18760,236582,2936597,0,949291,274848,382,33622,217416,93.44516627,41,2449186
"214","Oklahoma",2018,828,4496,15121,21.108,0,0,24,18526,268128,3346437,0,1140196,308589,691,35965,248887,98.01036447,23,1495639
"215","Oklahoma",2019,757,4115,5153,22.665,0,0,24,34758,293834,3545508,0,1228381,332320,734,34371,258317,90.83789996,13,645165
"216","Oklahoma",2020,886,4814,16,20.36,0,0,24,25042,283986,3244434,0,977372,323741,845,34942,258075,83.72943515,6,560909
"217","Oregon",2015,218,6587,0,0,5404,947,2898,291255,358382,889,0,0,438941,2430,73972,61799,37.89416845,169,6478283
"218","Oregon",2016,257,6548,0,0,5153,904,2928,318960,391102,848,0,0,468111,3140,70461,66075,37.66506368,162,104123811
"219","Oregon",2017,273,7011,0,0,5530,970,2839,352802,417834,700,0,0,501442,4827,76598,57366,38.79038331,129,137275588
"220","Oregon",2018,290,7251,0,0,5677,994,2837,322671,401773,529,0,0,486994,8464,77970,67802,39.58013113,96,3286698
"221","Oregon",2019,275,6579,0,0,5084,892,2884,270017,340834,420,0,0,426391,9437,78977,58496,41.83917874,75,13382214
"222","Oregon",2020,265,5929,0,0,4487,790,2917,280040,373076,337,0,0,453528,13116,74523,77003,37.48172955,55,25808865
"223","Pennsylvania",2015,592,16251,1278078,25.124,13035,2283,2162,24264,61427,5119772,842044,40522,200534,3758,122856,31244,232.9252268,102,4218295
"224","Pennsylvania",2016,876,18865,1168609,25.468,14104,2474,2162,21922,60247,5525743,867302,35888,196773,4071,117661,32093,217.9773815,74,2394977
"225","Pennsylvania",2017,1015,18741,1260516,25.656,13227,2320,2162,28775,68701,5769945,870187,37554,204952,4684,117510,33080,215.2868489,53,2661655
"226","Pennsylvania",2018,1521,20894,1278056,25.577,12628,2212,2162,38799,78545,6632662,872749,36963,220486,5111,121047,32473,220.1938915,57,10494432
"227","Pennsylvania",2019,1023,20133,1250902,24.979,14576,2559,2162,31195,68176,7296205,869084,37362,201783,5873,113473,28946,218.7358219,58,2943270
"228","Pennsylvania",2020,683,16714,908798,25.018,13006,2289,2162,23445,65641,7563593,799036,31483,189149,7151,106794,32883,193.2393532,50,2136747
"229","Rhode Island",2015,17,94,0,0,0,0,57,29,477,0,0,0,4886,298,4315,94,10.80452453,11,671306
"230","Rhode Island",2016,24,130,0,0,0,0,57,20,771,0,0,0,4700,450,3799,245,9.588941638,10,489512
"231","Rhode Island",2017,29,156,0,0,0,0,57,22,2129,0,0,0,5967,679,3682,1372,9.965275351,12,547069
"232","Rhode Island",2018,56,305,0,0,0,0,57,37,2710,0,0,0,6663,1173,3647,1444,11.05692381,15,661136
"233","Rhode Island",2019,100,546,0,0,0,0,57,32,4057,0,0,0,8797,2131,4194,1836,10.36524019,17,8838243
"234","Rhode Island",2020,103,557,0,0,0,0,57,31,6346,0,0,0,11420,4375,4516,1884,9.826373856,14,635939
"235","South Carolina",2015,60,328,0,0,0,0,648,23897,24686,0,555909,0,128618,140,103604,0,73.39880613,60,3065630
"236","South Carolina",2016,0,0,0,0,0,0,648,20551,21612,0,583883,0,131043,412,109432,0,72.25720541,77,22430291
"237","South Carolina",2017,0,0,0,0,0,0,648,16906,19592,0,568390,0,132533,2037,112941,0,69.96242998,84,68063288
"238","South Carolina",2018,0,0,0,0,0,0,648,27437,35034,0,551151,0,147096,6949,112062,0,74.14674879,123,64580916
"239","South Carolina",2019,0,0,0,0,0,0,648,26503,37758,0,585828,0,149844,10607,112086,0,69.44598066,49,53928982
"240","South Carolina",2020,0,0,0,0,0,0,648,33888,52929,0,571711,0,160701,18393,107772,0,63.49945279,86,145497267
"241","South Dakota",2015,0,152177,0,0,152177,26658,1868,45202,70354,614,0,9507,225499,10,2968,23274,14.13943764,63,3577721
"242","South Dakota",2016,0,154087,0,0,154087,27026,1868,44365,80538,511,0,8045,237289,15,2665,34290,14.80376576,32,76031784
"243","South Dakota",2017,0,160796,0,0,160796,28199,1868,48419,77574,531,0,7463,241029,32,2660,27255,14.65586638,18,3225820
"244","South Dakota",2018,0,165485,0,0,165485,28987,1868,57048,84755,494,0,7264,254033,29,3793,25810,15.52399536,38,3826069
"245","South Dakota",2019,0,164101,0,0,164101,28809,1868,70484,97224,450,0,6644,264674,33,3350,24839,15.97796876,21,538508
"246","South Dakota",2020,0,157168,0,0,157168,27664,1868,51152,101696,439,0,5958,261997,38,3132,48639,14.94250924,26,6976448
"247","Tennessee",2015,34,23845,23192,25.841,23661,4145,213,89288,91221,4959,261037,1692,182019,1294,66953,427,98.70392565,104,3275928
"248","Tennessee",2016,46,25503,16596,25.771,25253,4429,213,62538,64645,4180,309357,1471,154183,1546,64036,348,101.3548028,60,1102457
"249","Tennessee",2017,45,25649,11168,25.905,25404,4455,213,80071,82362,3515,332779,1551,166421,1679,58411,399,97.40767095,28,889496
"250","Tennessee",2018,501,27703,5922,25.521,24982,4376,213,93705,96669,3737,378224,1198,186147,2378,61775,373,93.83598219,31,4038180
"251","Tennessee",2019,741,28391,11341,26.016,24366,4278,213,90206,94526,3221,372992,1202,181028,3769,58111,338,92.23669942,45,6964195
"252","Tennessee",2020,839,27471,2377,25.871,22911,4033,213,118018,122230,2866,383098,939,202041,3656,52340,344,83.30319191,37,1536871
"253","Texas",2015,3493,66021,471257,13.12,47044,8241,2478,8913,435590,9392314,411571,7213013,583008,6397,81397,417802,655.1432269,110,2671308
"254","Texas",2016,4218,71381,515707,13.223,48465,8500,2478,12389,556938,8659990,440109,6683754,709194,10946,80874,531124,656.7493464,176,83607077
"255","Texas",2017,4659,74708,474274,13.036,49395,8663,2478,9784,655250,8735219,403523,7297941,810455,25155,80497,617833,664.9673475,219,98254981
"256","Texas",2018,5409,76580,328812,13.247,47192,8266,2478,10255,738209,9776991,430597,9181148,901492,36299,86703,689177,684.6895943,261,46570295
"257","Texas",2019,5096,68502,308449,13.234,40813,7165,2478,13139,808642,11323138,431234,10608326,963581,48385,86437,744639,683.2325698,122,9605822
"258","Texas",2020,5021,58807,262510,13.337,31528,5549,2478,9469,912590,11464912,432703,10109771,1059236,89658,87839,810985,623.9627434,60,39546994
"259","Utah",2015,2,9,325216,22.555,0,0,4811,7164,18788,461219,0,212307,23993,980,5195,5833,63.61302159,80,1243588
"260","Utah",2016,0,0,310453,22.223,0,0,5287,7012,31057,401909,0,174681,36562,11167,5504,7591,58.82516698,114,612804
"261","Utah",2017,0,0,317768,22.182,0,0,5239,11919,48162,346868,0,197089,53282,23097,5120,7907,59.03113555,56,15437033
"262","Utah",2018,0,0,305328,22.42,0,0,4866,8440,44435,326320,0,211790,50358,23895,5922,7234,61.24871623,41,668749
"263","Utah",2019,0,0,326024,22.632,0,0,3572,7793,42278,299544,0,210450,48225,23623,5947,7290,61.50322731,71,448561
"264","Utah",2020,0,0,296168,22.5,0,0,4113,7165,45727,265927,0,176142,50836,27408,5109,7041,57.37800883,32,736194
"265","Vermont",2015,0,0,0,0,0,0,29,10619,14724,0,0,0,38784,1044,24060,3032,107.6199041,31,2446464
"266","Vermont",2016,0,0,0,0,0,0,29,9948,14000,0,0,0,35637,1335,21638,2688,110.0640459,49,853133
"267","Vermont",2017,0,0,0,0,0,0,29,11796,16668,0,0,0,37792,2029,21124,2814,105.5838769,35,5764689
"268","Vermont",2018,0,0,0,0,0,0,29,11546,17225,0,0,0,41553,2252,24327,3399,110.0554883,37,2735678
"269","Vermont",2019,0,0,0,0,0,0,29,11906,18063,0,0,0,40997,2767,22933,3361,106.76702,34,4195235
"270","Vermont",2020,0,0,0,0,0,0,29,9911,16528,0,0,0,37481,3224,20953,3365,98.16604733,32,2039514
"271","Virginia",2015,48,6036,365832,25.546,5777,1012,1701,10795,13300,134220,293455,63,137589,803,118254,0,6.126831312,33,47317173
"272","Virginia",2016,79,3632,335590,25.12,3205,562,1701,13585,16391,126663,310966,40,139807,1105,119784,0,5.913477445,37,873689
"273","Virginia",2017,81,7654,343642,25.079,7215,1265,1701,10285,16020,121571,319562,40,140979,4034,117304,0,5.831030624,23,4591717
"274","Virginia",2018,129,6898,318949,24.512,6199,1086,1701,16067,26009,117273,305826,29,159914,8240,127007,0,5.854279866,23,493740
"275","Virginia",2019,60,853,320290,25.687,530,93,1701,13529,25398,111869,308013,34,142651,10167,116400,0,6.020390617,27,1121855
"276","Virginia",2020,57,495,251899,25.633,184,32,1701,17811,33962,107908,314722,28,147212,14450,112755,0,5.420121203,23,2405926
"277","Washington",2015,1335,7251,0,0,0,0,1136,684060,751781,0,85347,0,872328,649,113296,65936,75.13711456,109,1978193
"278","Washington",2016,1541,8373,0,0,0,0,1136,723289,799624,0,100674,0,930780,957,122783,74242,79.4036955,127,2515938
"279","Washington",2017,1694,9204,0,0,0,0,1136,757151,823289,0,85013,0,950220,1201,117726,63801,79.11865344,104,6910234
"280","Washington",2018,1850,10049,0,0,0,0,1136,736362,810926,0,101502,0,937724,1506,116749,71922,78.65855426,104,3061489
"281","Washington",2019,1808,9826,0,0,0,0,1136,587893,650831,0,92584,0,779076,2341,118419,59461,84.16948233,88,18389113
"282","Washington",2020,1768,9606,0,0,0,0,1136,670342,755489,0,98437,0,871240,2724,106145,81287,68.372251,68,2509973
"283","West Virginia",2015,0,0,2447181,25.589,0,0,32,12907,25858,1562536,0,66157,37954,93,12096,12825,99.85701526,107,3755629
"284","West Virginia",2016,0,0,2041073,25.57,0,0,32,15124,28482,1667404,0,43693,39653,104,11171,13222,95.6153185,80,7777098
"285","West Virginia",2017,0,0,2390309,25.752,0,0,32,15280,30937,1836375,0,49372,41643,126,10706,15499,98.64308793,95,2622475
"286","West Virginia",2018,0,0,2468639,25.847,0,0,32,16821,33107,2159553,0,72689,45418,140,12311,16114,101.1727696,75,2067441
"287","West Virginia",2019,0,0,2422224,25.927,0,0,32,15192,29912,2598072,0,98325,41973,163,12060,14525,94.82242355,103,2915140
"288","West Virginia",2020,0,0,1748361,25.948,0,0,32,13967,30837,3121923,0,108465,41440,188,10604,16649,87.03738391,101,9860324
"289","Wisconsin",2015,481,79450,0,0,76836,13460,615,21813,37744,0,104666,0,223881,505,106687,14811,91.96307825,69,491426
"290","Wisconsin",2016,597,82079,0,0,78834,13827,615,25806,40993,0,106173,0,224249,583,101178,13989,94.48890006,54,614068
"291","Wisconsin",2017,349,83624,0,0,81729,14333,615,24481,41165,0,100919,0,224172,953,99384,15116,90.84162772,88,673413
"292","Wisconsin",2018,544,89233,0,0,86279,15113,615,21777,38588,0,105900,0,232096,1287,104275,14909,89.14479553,48,946699
"293","Wisconsin",2019,643,88934,0,0,85442,15000,615,23518,42338,0,104736,0,232452,1483,101181,16722,85.44599619,44,790383
"294","Wisconsin",2020,743,66475,0,0,62437,10990,615,24457,42739,0,102032,0,200946,2197,91731,15470,76.92447797,44,1052654
"295","Wyoming",2015,0,1192,6538240,17.399,1192,209,663,8091,43791,1998295,0,494355,49887,27,4905,35009,64.09286316,18,249960
"296","Wyoming",2016,0,0,5169939,17.394,0,0,663,8987,50206,1878141,0,415795,54565,33,4358,40522,61.25999315,23,1359346
"297","Wyoming",2017,0,0,5516757,17.433,0,0,663,10352,50867,1788258,0,433655,55916,45,5049,39806,62.79648656,47,413987
"298","Wyoming",2018,0,0,5315953,17.476,0,0,663,8883,46550,1842525,0,502031,51483,67,4934,36936,63.84608066,53,573639
"299","Wyoming",2019,0,0,4828513,17.437,0,0,663,8838,48259,1684374,0,582170,53228,1688,4969,37070,59.09664881,32,570570
"300","Wyoming",2020,0,0,3822600,17.49,0,0,663,9527,60120,1489916,0,507017,64877,1566,4757,48362,55.62118348,11,229763
